"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"0220E23A-979D-5164-7BE7FC6D0623360A","D'ANDREA'S DELI GRILL & BAKERY","114 GRAND HILL PL ","HOLLY SPRINGS","NC","27540","","","19193212010"
"03D0B869-9790-0CB6-E27EB9965164CF3C","TRIBECA TAVERN","6004 FALLS OF NEUSE  RD ","RALEIGH","NC","27609","","","19197909992"
"03EAC77E-F639-BDD0-9AEA1321571A2A41","HARVEST SUNDRIES & DELI","411 FAYETTEVILLE ST ","RALEIGH","NC","27601","","","19198329720"
"04D9B05A-C331-5A52-99122FA35457268C","CAFE SOO","2106  HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198342244"
"04DDFEB1-D595-D3B0-5236A77C1D38FC6E","FOUR BROTHERS PIZZA","3919 NEW BERN AVE ","RALEIGH","NC","27610","","","19192310003"
"04F3E596-B231-1D03-93F1694D92A5F804","BROOKS STREET BOWL","413 BROOKS  ST ","WAKE FOREST","NC","27587","","","19194881651"
"05008F2F-FCE8-88F4-5F095F39D806CD3D","THE YARD HOUSE #41","4208 SIX FORKS  RD ","RALEIGH","NC","27609","","","19198812590"
"05F4A2BC-9EA6-C527-77B0AB8B1405469E","FRESCA CAFE' AND GELATO","302 COLONADES  WAY ","RALEIGH","NC","27518","","","19198518171"
"06120DD7-0E13-3205-5876E4A445033F6F","COMFORT INN FUQUAY VARINA BREAKFAST","7616 PURFOY RD ","FUQUAY VARINA","NC","27526","","","19195579000"
"062A6A30-E1F1-135E-559A847185DBD6FB","SUGARLAND","2031 CAMERON ST ","RALEIGH","NC","27605","","","19198352100"
"079E6726-EAF9-7770-92537BA708A7D696","Pat Murnane's Irish Pub","2101 S Main  ST ","WAKE FOREST ","NC","27587","","","19195625570"
"082054EE-036C-19FC-4F864F10D111D508","TGI Friday's","2002 Kildaire Farm RD ","CARY","NC","27511","","","19192338883"
"08A5D2BA-3048-9838-FC96F889B762BA98","Rush Lounge","7361 SIX FORKS RD ","RALEIGH","NC","27615","","","19198484782"
"0CF9098D-D402-284E-2FA0C5F24F9614D3","JASMIN BISTRO","3801 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198351626"
"0CF9098D-D402-284E-2FA0C5F24F9614D3","JASMIN BISTRO","3801 HILLSBOROUGH ST ","RALEIGH","NC","27607","","","19198351626"
"0FECEB45-B2AE-76E8-77671B9858BA5FD6","RUDINO'S PIZZA & GRINDERS SPORTS CORNER","3101-101 EDWARDS MILL RD ","RALEIGH","NC","27612","","","19197864235"
"10059478-C540-1703-0F2CFAA3AD7FFDD8","BRAVO'S MEXICAN GRILL","208 GRANDE HEIGHTS DR ","CARY","NC","27513","","","19194813811"
"100F694A-86A1-1842-7C1118D2F49043EE","MCDONALDS #32242","7100 GB ALFORD HWY ","HOLLY SPRINGS","NC","27540","","","19195524071"
"102567C8-158A-D963-9E3C131A45EECF63","Arby's #6554","1031 Harrison AVE ","CARY","NC","27513","","","19194691887"
"1030ABD8-A8BB-ED7D-5D3813B21B3A6BF4","Rudino's","5217 Sunset Lake RD ","HOLLY SPRINGS","NC","27540","","","111111111919"
"10626B94-E736-E0A3-C0AAC0FC7FDC80D8","CAPPOLLA'S PIZZA & GRILL","2462 WALNUT ST ","CARY","NC","27518","","","19198547777"
"1071EE5E-1226-9DA3-B05A180D943822C3","WAFFLE HOUSE #378","3909 HILLSBOROUGH ST","RALEIGH","NC","27607-5217","","","19198331247"
"10799","FLASHBACKS SPORTSBAR & LOUNGE","4004 CAPITAL BLVD ","RALEIGH","NC","27604","","","111111111111111"
"1089EAE9-91A5-E568-D745DD9818CEB333","NEW RAINBOW CHINESE RESTAURANT","3427 N Main St ","FUQUAY-VARINA","NC","27526","","","19195678272"
"10B98070-D0B7-842B-F98616B45457ED55","HWY 55 BURGERS SHAKES & FRIES","3421 N MAIN ST ","FUQUAY VARINA","NC","27526","","","111111111111111"
